FRAME,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID
297,0,7089,14938
290,0,6971,6788
243,0,5716,5715
370,0,8969,9219
244,0,5712,5708
223,0,5420,5266
218,0,5212,5225
194,0,4827,4786
289,0,6808,6971
215,0,5091,5347
320,0,7643,7681
327,0,7913,7938
70,0,12535,12549
330,0,8022,7951
18,0,2287,2366
340,0,8238,8279
207,0,13584,13602
252,0,6086,5919
400,0,9988,9733
389,0,9435,9406
214,0,5152,5091
346,0,8382,8374
414,0,10058,18168
383,0,9247,9449
53,0,12243,12266
414,0,10052,10125
93,0,12790,12804
148,0,4122,4031
390,0,9418,9501
114,0,12986,13004
206,0,4987,5048
343,0,8300,8339
430,0,18928,10469
197,0,4838,4921
224,0,5273,5316
181,0,4539,4477
181,0,4547,4479
277,0,6541,6577
211,0,5177,5055
298,0,14938,14978
296,0,7034,7095
353,0,8511,8651
221,0,5398,5255
299,0,7213,7065
404,0,9751,9940
245,0,5711,5747
409,0,9831,9939
325,0,7856,8073
272,0,6553,6383
395,0,9567,9616
182,0,4479,4604
219,0,5225,5272
216,0,5347,5184
366,0,8799,8778
44,0,12026,12033
269,0,6496,6314
252,0,6081,5918
328,0,138704,8178
243,0,5713,5712
396,0,9627,9650
194,0,4842,4794
393,0,9490,9551
254,0,5968,6040
349,0,8432,8556
313,0,7614,7532
232,0,5481,5531
274,0,6406,6498
7,0,2187,2070
104,0,3238,3255
430,0,10485,10466
378,0,9161,9227
350,0,8547,138717
328,0,7925,8130
156,0,4263,4146
130,0,3656,3651
259,0,6053,6070
413,0,10101,10053
287,0,6826,6748
283,0,6687,6670
295,0,6960,7032
164,0,4236,4247
271,0,6374,6554
253,0,5918,5970
363,0,8733,8973
385,0,9463,9287
245,0,5704,5734
75,0,12578,12585
265,0,6205,6245
294,0,14783,6960
334,0,7997,8151
313,0,7680,7552
97,0,12833,12845
371,0,9219,8994
47,0,12144,12173
236,0,5555,5659
430,0,18936,10482
351,0,8463,8479
37,0,2464,2469
320,0,7663,7708
250,0,5835,5854
333,0,8017,7992
210,0,5007,5175
431,0,10461,10402
397,0,9650,9847
162,0,4201,4219
12,0,2249,2265
68,0,2917,12531
43,0,12006,12026
354,0,8647,8567
338,0,8360,8205
260,0,6059,6078
189,0,4686,4764
339,0,8199,8219
231,0,5471,5481
145,0,3911,3925
401,0,9737,9924
344,0,8339,8524
214,0,5149,5085
428,0,10401,10342
8,0,2070,2078
314,0,15550,138829
112,0,12973,12976
362,0,8743,8737
132,0,3703,3842
320,0,7650,7696
15,0,11320,2299
120,0,3594,3637
201,0,4869,4999
265,0,6212,6257
117,0,13023,13030
347,0,8391,8568
102,0,12915,3431
342,0,8308,8300
371,0,9222,9004
325,0,7860,8083
135,0,3775,3815
422,0,10213,10264
429,0,10334,10484
150,0,4005,4023
278,0,6577,6609
179,0,4587,4540
20,0,2361,2322
367,0,8778,8896
321,0,15622,15655
25,0,2392,11594
311,0,7430,7473
289,0,6871,6997
216,0,5349,5185
208,0,13600,13607
373,0,9149,9025
79,0,12614,12622
302,0,7175,7248
213,0,5111,5149
356,0,8781,8620
318,0,7760,7618
348,0,8544,8423
168,0,4417,13265
306,0,7536,7348
291,0,14690,14713
411,0,10026,10267
422,0,10208,10261
305,0,7292,7517
386,0,9292,9322
89,0,12717,12755
313,0,138827,15550
134,0,3790,3776
10,0,2171,2090
179,0,4588,4542
323,0,7866,7831
224,0,5275,5317
