FRAME,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID
0,0,2209,2299
1,0,2299,2487
2,0,2487,2594
2,0,2487,12173
3,0,2594,2748
3,0,12173,12484
4,0,2748,12619
4,0,12484,12622
5,0,12622,12823
5,0,12619,12825
6,0,12823,12971
6,0,12825,12973
7,0,12971,3605
7,0,12973,3607
8,0,3605,4028
8,0,3607,4032
9,0,4028,4184
9,0,4032,4186
10,0,4184,4497
10,0,4186,4499
10,0,4186,4502
11,0,4497,4712
11,0,4499,4715
11,0,4502,4716
12,0,4712,5101
12,0,4716,13600
12,0,4715,13602
13,0,5101,5266
13,0,13602,5273
13,0,13600,5275
14,0,5266,5808
14,0,5273,5809
14,0,5275,5810
15,0,5808,5929
15,0,5810,5934
15,0,5809,5935
16,0,5929,6550
16,0,5934,6553
16,0,5935,6554
17,0,6550,6746
17,0,6553,6748
17,0,6554,6749
18,0,6746,7257
18,0,6748,7262
18,0,6749,7269
19,0,7257,7643
19,0,7262,7650
19,0,7262,7656
19,0,7269,7663
20,0,7650,8120
20,0,7656,8129
20,0,7663,8146
20,0,7643,15945
21,0,8120,8461
21,0,15945,8464
21,0,8129,8472
21,0,8146,8479
22,0,8464,8896
22,0,8461,8898
22,0,8472,8900
22,0,8479,8904
23,0,8896,9447
23,0,8898,9448
23,0,8900,9449
23,0,8904,9455
24,0,9447,9985
24,0,9448,9988
24,0,9449,9989
24,0,9455,10006
0,4,2229,2368
1,4,2368,2499
2,4,2499,2603
3,4,2603,2769
4,4,2769,2986
4,4,2769,2987
5,4,2986,3165
5,4,2987,3167
6,4,3165,3426
6,4,3167,3429
7,4,3426,3617
7,4,3429,3620
8,4,3617,4059
8,4,3620,4066
9,4,4059,4199
9,4,4066,13181
10,4,4199,4562
10,4,13181,4568
11,4,4562,4726
11,4,4568,4728
12,4,4726,5146
12,4,4728,5150
13,4,5146,5302
13,4,5150,5309
14,4,5302,5845
14,4,5309,5851
15,4,5851,5983
15,4,5845,14112
16,4,14112,6602
16,4,5983,6629
17,4,6602,6764
17,4,6629,6767
18,4,6764,7315
18,4,6767,7317
19,4,7315,7715
19,4,7317,7721
20,4,7715,8175
20,4,7721,8183
21,4,8175,8497
21,4,8183,8502
22,4,8497,8921
22,4,8502,8931
23,4,8921,9582
23,4,8931,9632
24,4,9632,10022
0,5,2230,2370
0,5,2230,2371
1,5,2371,2501
1,5,2370,2511
2,5,2511,12188
2,5,2501,12190
3,5,12190,2770
3,5,12188,2773
4,5,2770,2989
4,5,2773,2990
5,5,2989,3169
5,5,2990,3171
6,5,3169,3433
6,5,3171,3438
7,5,3433,3618
7,5,3438,3623
8,5,3618,4062
8,5,3623,4065
9,5,4062,4204
9,5,4065,13183
10,5,4204,4559
10,5,13183,4564
11,5,4559,4725
11,5,4564,13419
11,5,4564,13421
12,5,4725,5148
12,5,13419,13594
12,5,13421,13596
13,5,5148,5300
13,5,5148,5308
13,5,13594,13734
13,5,13596,13772
14,5,5300,5839
14,5,5308,5847
14,5,13734,13958
14,5,13772,13960
15,5,13960,5973
15,5,5839,5975
15,5,5847,5981
15,5,13958,14114
16,5,5973,6594
16,5,5975,6605
16,5,5981,6608
16,5,14114,6611
17,5,6594,6760
17,5,6608,6761
17,5,6611,6765
17,5,6605,6766
18,5,6760,7309
18,5,6765,7312
18,5,6761,7314
19,5,7309,7707
19,5,7314,7710
19,5,7312,7718
20,5,7707,8171
20,5,7710,8176
20,5,7718,8180
21,5,8176,8498
21,5,8180,8499
21,5,8171,16249
22,5,8498,8919
22,5,8499,8923
22,5,16249,8924
23,5,8919,9573
23,5,8923,9586
23,5,8924,9624
24,5,9573,10017
24,5,9586,10019
24,5,9624,10020
0,6,10585,2302
1,6,2302,2489
2,6,2489,12161
3,6,12161,2756
4,6,2756,2979
5,6,2979,3157
6,6,3157,3404
6,6,3157,3414
7,6,3404,3609
7,6,3414,3613
8,6,3609,4039
8,6,3613,4042
9,6,4039,4188
9,6,4042,4191
10,6,4188,4505
10,6,4191,4509
11,6,4505,4717
11,6,4509,4719
12,6,4717,5123
12,6,4719,5127
13,6,5123,5278
13,6,5127,5281
14,6,5281,5811
14,6,5278,5812
15,6,5811,5938
15,6,5812,5945
16,6,5938,6557
16,6,5945,6562
17,6,6557,6750
17,6,6562,6752
18,6,6750,7266
18,6,6752,7273
19,6,7266,7655
